,unidades,precio_neto,precio_lista,porcentaje_descuento,valor_neto,valor_bruto,dcto
unidades,1.0,-0.2165331712953608,-0.29552959737000095,0.0029852460119358807,0.6706062377458065,0.7505982403396092,0.4519075368048008
precio_neto,-0.2165331712953608,1.0,0.8862079639852766,-0.41106428079942214,0.3885674258463847,0.281367524893118,-0.2726880748572621
precio_lista,-0.29552959737000095,0.8862079639852766,1.0,-0.17172055664054708,0.25529935677669974,0.26896848195795503,-0.10058267799994888
porcentaje_descuento,0.0029852460119358807,-0.41106428079942214,-0.17172055664054708,1.0,-0.2985268480388306,-0.12125027104580566,0.4950832362556119
valor_neto,0.6706062377458065,0.3885674258463847,0.25529935677669974,-0.2985268480388306,1.0,0.8696151730192644,0.0956642766589179
valor_bruto,0.7505982403396092,0.281367524893118,0.26896848195795503,-0.12125027104580566,0.8696151730192644,1.0,0.38966386269727676
dcto,0.4519075368048008,-0.2726880748572621,-0.10058267799994888,0.4950832362556119,0.0956642766589179,0.38966386269727676,1.0
