,unidades,precio_neto,precio_lista,porcentaje_descuento,valor_neto,valor_bruto,dcto
unidades,1.0,-0.06849339030827235,-0.06350283325139097,-0.16666146900140505,0.25978827758834333,0.22621510615904344,-0.16619351628940301
precio_neto,-0.06849339030827235,1.0,0.8581384778095887,-0.29595425265069614,0.48277975485363556,0.40357883360963304,-0.3148327135059356
precio_lista,-0.06350283325139097,0.8581384778095887,1.0,-0.00864962864710269,0.36278603888781574,0.4300927286096957,-0.10345229750240395
porcentaje_descuento,-0.16666146900140505,-0.29595425265069614,-0.00864962864710269,1.0,-0.3582707816777072,-0.014766565159771573,0.5406973712748266
valor_neto,0.25978827758834333,0.48277975485363556,0.36278603888781574,-0.3582707816777072,1.0,0.7149718507224329,-0.6380370204509332
valor_bruto,0.22621510615904344,0.40357883360963304,0.4300927286096957,-0.014766565159771573,0.7149718507224329,1.0,-0.012641390426537783
dcto,-0.16619351628940301,-0.3148327135059356,-0.10345229750240395,0.5406973712748266,-0.6380370204509332,-0.012641390426537783,1.0
